# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 91  of event 'cpu_core/cache-misses/'
# Event count (approx.): 602453
#
# Overhead,Command        ,Shared Object       ,Symbol                             
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] tlb_gather_mmu
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] _raw_spin_lock
 0.04%  ,matrix_scalar_a,libc.so.6           ,[.] __printf_fp_buffer_1.isra.0
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] nohz_balancer_kick
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] consume_stock
 0.04%  ,matrix_scalar_a,libc.so.6           ,[.] _IO_flush_all
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] update_fast_timekeeper
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] tick_nohz_highres_handler
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __update_load_avg_cfs_rq
 0.03%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] intel_pmu_disable_all
 0.03%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __raw_spin_lock_irqsave
 0.03%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] update_process_times


# Samples: 1K of event 'cpu_core/branch-loads/'
# Event count (approx.): 156328605
#
# Overhead,Command        ,Shared Object       ,Symbol                          
 96.21% ,matrix_scalar_a,matrix_scalar_app   ,[.] gemm_scalar
 0.21%  ,bc             ,[kernel.kallsyms]   ,[k] next_uptodate_folio
 0.21%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mas_walk
 0.18%  ,run_benchmark.s,libc.so.6           ,[.] _int_malloc
 0.15%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] irqentry_exit_to_user_mode
 0.15%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __sched_fork
 0.14%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmalloc_node_trace
 0.14%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] consume_obj_stock
 0.14%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] folio_remove_rmap_ptes
 0.11%  ,run_benchmark.s,bash                ,[.] 0x00000000001168e8
 0.11%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __rcu_read_lock
 0.11%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] error_entry
 0.11%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __put_partials
 0.10%  ,bc             ,[kernel.kallsyms]   ,[k] __fsnotify_parent
 0.10%  ,bc             ,libc.so.6           ,[.] _int_malloc
 0.10%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] zap_pmd_range.isra.0
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __rcu_read_unlock
 0.10%  ,run_benchmark.s,bash                ,[.] dequote_string
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] uncharge_folio
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] folio_remove_rmap_ptes
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] percpu_counter_add_batch
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] vm_normal_page
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] zap_pte_range
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] free_pages_and_swap_cache
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __calc_delta.constprop.0
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] update_load_avg
 0.09%  ,run_benchmark.s,bash                ,[.] 0x0000000000041088
 0.08%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] arch_check_zapped_pte
 0.08%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] filemap_map_pages
 0.07%  ,run_benchmark.s,libc.so.6           ,[.] __mbrtowc
 0.07%  ,run_benchmark.s,libc.so.6           ,[.] __memmove_avx_unaligned_erms
 0.06%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] up_read
 0.06%  ,run_benchmark.s,ld-linux-x86-64.so.2,[.] _dl_lookup_symbol_x
 0.05%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __virt_addr_valid
 0.05%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] consume_stock
 0.04%  ,run_benchmark.s,libc.so.6           ,[.] re_compile_fastmap_iter
 0.04%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] next_uptodate_folio
 0.01%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] access_error
 0.01%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmem_cache_alloc
 0.01%  ,run_benchmark.s,libc.so.6           ,[.] __collseq_table_lookup
 0.01%  ,run_benchmark.s,libc.so.6           ,[.] parse_expression
 0.01%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] percpu_counter_add_batch
 0.00%  ,run_benchmark.s,libc.so.6           ,[.] _int_free
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] _raw_spin_unlock_irq
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] locks_remove_posix
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] make_vfsuid
 0.00%  ,run_benchmark.s,bash                ,[.] 0x0000000000087514
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __update_blocked_fair
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] do_wp_page


# Samples: 659  of event 'cpu_core/branch-load-misses/'
# Event count (approx.): 670097
#
# Overhead,Command        ,Shared Object       ,Symbol                           
 80.27% ,matrix_scalar_a,matrix_scalar_app   ,[.] gemm_scalar
 0.93%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] sched_cgroup_fork
 0.93%  ,run_benchmark.s,ld-linux-x86-64.so.2,[.] _dl_lookup_symbol_x
 0.89%  ,bc             ,[kernel.kallsyms]   ,[k] vma_interval_tree_remove
 0.89%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] release_pages
 0.86%  ,run_benchmark.s,bash                ,[.] set_shellopts
 0.85%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] pcpu_alloc_area
 0.83%  ,run_benchmark.s,libc.so.6           ,[.] _int_malloc
 0.82%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __d_alloc
 0.82%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] copy_present_pte
 0.82%  ,run_benchmark.s,bash                ,[.] init_yy_io
 0.82%  ,run_benchmark.s,libc.so.6           ,[.] cfree@GLIBC_2.2.5
 0.78%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mas_next_slot
 0.78%  ,run_benchmark.s,bash                ,[.] 0x00000000001154c3
 0.75%  ,run_benchmark.s,libc.so.6           ,[.] __memmove_avx_unaligned_erms
 0.75%  ,run_benchmark.s,libc.so.6           ,[.] re_node_set_merge
 0.72%  ,run_benchmark.s,bash                ,[.] 0x00000000001165c3
 0.70%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __update_load_avg_se
 0.60%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_cache_libcmp
 0.60%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_relocate_object
 0.47%  ,matrix_scalar_a,libc.so.6           ,[.] __printf_fp_buffer_1.isra.0
 0.24%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] next_uptodate_folio
 0.23%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] untrack_pfn
 0.22%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] lru_gen_del_folio.constprop.0
 0.20%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] special_mapping_close
 0.18%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] percpu_counter_add_batch
 0.18%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] update_min_vruntime
 0.18%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] mas_walk
 0.17%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] vm_normal_page
 0.16%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] folio_remove_rmap_ptes
 0.15%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] mm_counter
 0.15%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __memcg_slab_free_hook
 0.15%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __irqentry_text_end
 0.13%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __update_load_avg_cfs_rq
 0.13%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] _raw_spin_lock
 0.11%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] lock_vma_under_rcu
 0.10%  ,matrix_scalar_a,matrix_scalar_app   ,[.] main
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] propagate_protected_usage
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __mod_node_page_state
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] mas_wr_modify
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] mas_update_gap.part.0
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] folio_add_file_rmap_ptes
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] mas_destroy
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] mas_ascend
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] kmem_cache_free
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __mod_memcg_lruvec_state
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] mas_prev_slot
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] vma_dup_policy
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] remove_vma
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] kick_ilb
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __update_load_avg_se
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] invoke_rcu_core
 0.07%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] unlink_anon_vmas


# Samples: 1K of event 'cpu_core/L1-dcache-loads/'
# Event count (approx.): 2099766880
#
# Overhead,Command        ,Shared Object    ,Symbol                             
 99.67% ,matrix_scalar_a,matrix_scalar_app,[.] gemm_scalar
 0.04%  ,matrix_scalar_a,matrix_scalar_app,[.] init_matrices
 0.02%  ,matrix_scalar_a,[kernel.kallsyms],[k] __alloc_pages
 0.02%  ,run_benchmark.s,[kernel.kallsyms],[k] perf_event_init_context
 0.02%  ,run_benchmark.s,[kernel.kallsyms],[k] down_write
 0.02%  ,run_benchmark.s,[kernel.kallsyms],[k] obj_cgroup_charge
 0.02%  ,run_benchmark.s,[kernel.kallsyms],[k] kmalloc_trace
 0.02%  ,run_benchmark.s,[kernel.kallsyms],[k] kmem_cache_alloc
 0.01%  ,run_benchmark.s,libc.so.6        ,[.] malloc
 0.01%  ,bc             ,[kernel.kallsyms],[k] mas_walk
 0.01%  ,run_benchmark.s,[kernel.kallsyms],[k] mas_next_slot
 0.01%  ,run_benchmark.s,libc.so.6        ,[.] __gconv_transform_utf8_internal
 0.01%  ,run_benchmark.s,[kernel.kallsyms],[k] percpu_counter_add_batch
 0.01%  ,run_benchmark.s,[kernel.kallsyms],[k] release_pages
 0.01%  ,run_benchmark.s,[kernel.kallsyms],[k] x86_pmu_event_init
 0.01%  ,bc             ,[kernel.kallsyms],[k] __handle_mm_fault
 0.01%  ,bc             ,[kernel.kallsyms],[k] early_xen_iret_patch
 0.01%  ,matrix_scalar_a,[kernel.kallsyms],[k] handle_mm_fault
 0.01%  ,run_benchmark.s,[kernel.kallsyms],[k] d_path
 0.01%  ,run_benchmark.s,bash             ,[.] 0x000000000003712f
 0.01%  ,run_benchmark.s,bash             ,[.] mbschr
 0.01%  ,run_benchmark.s,[kernel.kallsyms],[k] next_uptodate_folio
 0.01%  ,run_benchmark.s,[kernel.kallsyms],[k] __irqentry_text_end
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] perf_iterate_ctx
 0.00%  ,run_benchmark.s,libc.so.6        ,[.] _dl_mcount_wrapper_check
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] folio_add_file_rmap_ptes
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] __rcu_read_lock
 0.00%  ,run_benchmark.s,bash             ,[.] set_shellopts
 0.00%  ,run_benchmark.s,bash             ,[.] 0x0000000000083aa0
 0.00%  ,run_benchmark.s,libc.so.6        ,[.] __btowc
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] _raw_spin_lock
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] __call_rcu_common
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] do_user_addr_fault
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] free_p4d_range
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] free_unref_page_list
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] sync_regs
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] syscall_exit_to_user_mode
 0.00%  ,run_benchmark.s,[kernel.kallsyms],[k] pick_next_task


# Samples: 1K of event 'cpu_core/L1-dcache-stores/'
# Event count (approx.): 304526982
#
# Overhead,Command        ,Shared Object       ,Symbol                             
 98.49% ,matrix_scalar_a,matrix_scalar_app   ,[.] gemm_scalar
 0.13%  ,matrix_scalar_a,matrix_scalar_app   ,[.] init_matrices
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] acct_collect
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __mod_memcg_lruvec_state
 0.10%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __slab_free
 0.08%  ,run_benchmark.s,libc.so.6           ,[.] register_state
 0.08%  ,run_benchmark.s,libc.so.6           ,[.] _int_malloc
 0.07%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmalloc_trace
 0.07%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __srcu_read_unlock
 0.05%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_relocate_object
 0.05%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kfree
 0.05%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] inherit_event.isra.0
 0.05%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] copy_present_pte
